segsites pi thetaW tajD het_o fst dxy ibs_bw_mean ibs_bw_skew ibs_bw_blocks_over_1e4 ibs_wi_mean ibs_wi_skew ibs_wi_blocks_over_1e4
87146 0.0016741122151898733 0.0017594662745803627 -0.16931362973289216 0.18634131228054068 0.06277792890241846 0.0017276166381712304 621.4355533503531 153.9183047540727 10223 652.6868691357239 549.4179280825891 19398
87416 0.0016909679430379744 0.001764917539057639 -0.14623796342385798 0.18678702983435524 0.06725719200597086 0.0017490571635033572 618.1805396234402 57.49864343355017 10373 650.6301140699104 548.9449066405052 19732
87445 0.0016955052215189873 0.0017655030452422354 -0.13837728847031414 0.18673766367430955 0.0653578553013678 0.0017521295913268842 614.0130855532751 346.3865835834111 10280 644.7716606794527 552.2298955182555 19360
86629 0.0016737865189873416 0.0017490281125998011 -0.15014461849174107 0.1870441768922647 0.06568165258412434 0.0017298466437475624 617.6907933921808 46.77978388494171 10103 651.7946718729191 546.5388000876438 19084
88013 0.0016957531962025314 0.0017769708905129493 -0.15952149512238542 0.18595519980002956 0.06635475575917323 0.0017532023120783024 612.9568573396502 155.3287826931137 10184 644.9223380710348 552.448779964902 19418
87138 0.0016972181645569617 0.0017593047556328882 -0.12317013656153304 0.18775849801464345 0.06378037486960025 0.0017525887400848203 613.1141252585651 124.71621841498724 10323 645.1078121657554 551.1558975152545 19620
86564 0.0016848737974683539 0.001747715771151568 -0.12549533226493476 0.1881186174391202 0.0680328213091855 0.0017434157100574682 619.1507248278491 466.2935555365868 10048 652.5751236894887 548.0874698677933 19412
87030 0.001685478924050633 0.0017571242498419775 -0.14230955180947835 0.18683787199816154 0.06516314346359232 0.0017416026701597617 618.6228090148857 109.5483903899698 10608 650.869430352114 548.6294642391148 19954
86898 0.001683210474683544 0.0017544591872086428 -0.14173672193876982 0.1858998480977698 0.06604950252929168 0.0017401131055084077 616.4655755124464 177.5043189746245 10098 648.5009539496904 549.2796052825007 18990
87389 0.0017032990189873418 0.0017643724126099115 -0.12081212737962448 0.1885211525478035 0.06467221536613633 0.0017594722754062527 610.8294477221305 195.07095066707194 10262 642.4788139861561 553.1681724867934 19248
86912 0.0016701193987341773 0.0017547418453667237 -0.168314286745528 0.185433254326215 0.06411975080945155 0.0017248096150508218 623.2629691623226 587.5203611470107 10238 655.820836533638 546.365273079028 19612
86421 0.0016783648101265823 0.001744828619965455 -0.13294774844565468 0.187957209474549 0.0633009710566517 0.00173253808562705 619.3941666635797 130.83637243070208 10176 652.0406619223808 536.2792681906968 19418
87185 0.0017000257911392405 0.0017602536794493028 -0.11941835102895021 0.18800281011641912 0.0676431742678356 0.0017587808941804818 613.3673009384744 458.3882799417217 10782 646.0058267646757 551.4358838406347 20536
86913 0.0016896910759493671 0.0017547620352351579 -0.12942483378713968 0.18755882319100708 0.06364580432770735 0.0017445658311160434 615.5744893888057 67.77188810819808 10234 647.2261287885561 551.419370993069 19532
86814 0.0016903764240506327 0.001752763238260157 -0.12422762094261088 0.1875443476858571 0.06420483379494243 0.001745790209568121 612.8306149084945 109.13498637551119 10202 645.7108329287119 550.8613686114589 19544
87043 0.0016912990506329111 0.0017573867181316244 -0.1312507363383259 0.18781349447973988 0.06390819276957932 0.0017464423601149862 616.5118979483202 296.59976631514417 10305 647.8590549771804 551.0102209441238 19540
86614 0.0016841175 0.0017487252645732856 -0.12894713655704942 0.1876714503429007 0.06756206911435159 0.0017422181532506234 619.6326578061983 162.25765863683517 10626 652.6337570155437 547.0126475315946 20410
87461 0.001702506993670886 0.001765826083137185 -0.12515133494372563 0.18858719886578015 0.06506172922069611 0.0017590423080665139 611.2356324700909 194.4319336363898 10301 643.2775012401934 552.869954630634 19370
86479 0.00167982 0.0017459996323346478 -0.13229052663354474 0.1877259219001145 0.0659272175587301 0.0017363252203884082 620.1485733796361 468.2652463402856 10451 652.39174478296 548.8557901744996 19958
87325 0.0016965144303797467 0.0017630802610301124 -0.13177347434121237 0.18775035785857427 0.06509926712387304 0.001752851370114039 612.477212604974 424.76567952654136 10154 644.3259907582068 551.7467050442582 19192
87425 0.0016935956645569618 0.0017650992478735483 -0.14138633012149307 0.18708578781812982 0.0656258099180107 0.0017503354490751681 615.5418890748172 180.8330019925989 10258 647.5548121350605 550.9401921453107 19680
86624 0.001669633829113924 0.0017489271632576292 -0.15823900046508269 0.18586794652752123 0.06494347898084185 0.001725041963630384 622.5624054507437 127.93073651837095 10149 654.4711197209439 547.7052417611305 19266
87435 0.0016916913607594936 0.0017653011465578918 -0.14553434582799246 0.18714616572310855 0.06610745796499268 0.00174878535247192 615.9494901008798 144.86650711453032 10596 647.5199026072466 550.6498261248048 19672
87006 0.0016872758544303798 0.001756639692999553 -0.13781582311933094 0.187885030917408 0.06435414808808461 0.0017426123854199442 616.1268625310569 66.99088199550059 10217 650.2049903270346 549.7144526093069 19642
87291 0.0016896141772151899 0.0017623938055033447 -0.1441304001662502 0.1868720715766803 0.06375510089869793 0.0017445808297261271 619.0293055179538 2112.5839174685493 10100 649.2613300259258 550.1190315979923 19212
87397 0.0016948196202531646 0.0017645339315573863 -0.13789250672425296 0.18727931164685285 0.06276921222590422 0.0017490857337843638 612.1171405494279 92.30233925015845 10450 645.3825264317776 550.5814908849823 19722
87423 0.0016917529430379745 0.0017650588681366792 -0.14495347429499544 0.18674748064010613 0.06558341467115492 0.0017483969788441999 615.6529733143358 180.97119189075545 10658 646.8399142251799 550.9450454202553 19876
87151 0.0016765796835443037 0.0017595672239225347 -0.16460981110543751 0.18672878108111207 0.06557504736031167 0.0017326702233410678 620.4358568877308 105.1914865995832 10084 654.4768210007273 546.78495335401 19596
87435 0.001697623924050633 0.0017653011465578918 -0.1338050396183021 0.1878555498370218 0.0648924405395907 0.0017538323821308821 613.7628286727447 92.73097576472244 10263 645.6376442554615 552.0341735027192 19696
86854 0.00168797167721519 0.001753570832997531 -0.1305640342964361 0.18784310452022934 0.06786685985126224 0.0017465078409643542 618.2360586134172 116.79491339480766 10506 650.39273652336 549.6044753522482 20106
87432 0.0016937298734177213 0.0017652405769525885 -0.14138908880860263 0.1863065010522463 0.06506046362513487 0.0017500545223842318 612.9986752909679 180.19061260236933 10338 644.9271275374477 551.861538735673 19240
87212 0.001697016170886076 0.0017607988058970301 -0.12642746272346514 0.18718438976287669 0.06964604572498974 0.0017575104178938225 617.3527154771175 93.80033760628444 10883 650.227075335679 548.6175306219714 20382
87028 0.0017001548734177213 0.0017570838701051088 -0.11308101524391126 0.18829112469550027 0.06683150044549452 0.0017582674591358142 611.6350742957354 224.6468734274181 10244 643.2518880311071 551.7133553437689 19788
86973 0.001692297658227848 0.0017559734273412191 -0.12656246041029262 0.18702528370873717 0.06600827374740677 0.001749455857173237 615.7524758462865 135.32825248593073 10362 647.5650005316396 550.8074774771104 19830
86677 0.0016790689873417718 0.0017499972262846502 -0.14145894100125542 0.18704442931804283 0.0661020549992258 0.001735713731442515 617.6306264521698 98.31901148297204 10358 650.8476741483335 549.2530062195983 20050
87724 0.001684272563291139 0.0017711360185354206 -0.1711725000733101 0.1859374287538188 0.06459562972988964 0.0017397540992208044 617.2828499004468 110.76246095330725 10082 649.7458621008584 549.2996335865914 19226
87008 0.0016982249367088608 0.0017566800727364218 -0.11613915380011584 0.18922168076498713 0.06579726934670056 0.0017551623018808317 614.1181685298023 1181.4768934758765 9967 645.8882810256698 550.0973447398051 19252
87137 0.0016961344303797468 0.0017592845657644538 -0.125281480667017 0.1877635218104823 0.06493595330874866 0.0017524711017901508 613.2644771004974 106.1523672392154 10528 646.0435682450197 550.275796527128 19872
86749 0.0016798647151898736 0.0017514508968119236 -0.1426526465225751 0.18690157811617425 0.06240727137769914 0.0017333893161308148 619.4537437434543 57.16108986316898 10139 651.8872399371485 548.0657899522065 19062
87686 0.0016907814556962025 0.001770368803534915 -0.15690221867505671 0.18650639782861575 0.066492150803639 0.0017481754839910118 617.8497508538002 750.7562713964327 10331 647.0777221877775 551.3653562347745 19300
87515 0.0016885881962025316 0.0017669163360326402 -0.15472147290818333 0.18467719819459522 0.06621102025192024 0.0017459191385432473 616.1086887454835 79.47428744744578 10255 648.2188291155534 550.3119650223372 19506
87553 0.0016918282594936707 0.0017676835510331457 -0.149771829037103 0.18713664865852683 0.06484978370604363 0.0017477393905335936 615.0187816205076 74.45731823256209 10169 647.4896192252645 550.3800401935855 19504
86778 0.0016955282278481012 0.00175203640299652 -0.1125684703433652 0.189292793104243 0.06578594556528668 0.0017524455405049455 616.2886329618244 112.34924011905758 10449 649.8574686135651 548.9286853467121 19948
86961 0.0016903646202531643 0.0017557311489200071 -0.12994095510838283 0.18716666091696277 0.06536491600130076 0.001746806066026468 615.4937284033847 542.5114212829322 10488 647.4060463083995 550.8667286488803 20084
87334 0.001690682151898734 0.0017632619698460218 -0.143663935704151 0.18715505988503903 0.06559586087385719 0.0017472556641851557 617.2910515346712 96.41680323110715 10016 649.5717430232714 549.2529894720726 19014
87312 0.0016950610126582276 0.001762817792740466 -0.13415104357424473 0.1868437328202309 0.06691228496756817 0.001753050702215203 612.8047288538903 111.48686015848392 10287 645.7318110380252 550.4215479361293 19670
87282 0.0016922188607594937 0.0017622120966874354 -0.13862661195812626 0.18704601177791524 0.06392821342602815 0.0017474271072253158 614.4363430886553 110.9968005880752 10092 648.4394733985233 549.2999423826075 19522
87699 0.0016949171202531644 0.0017706312718245615 -0.14924429299565686 0.18627891994207463 0.0658898717699149 0.00175202722320776 614.5791629496956 83.90085615725174 10229 646.9597087744083 551.2011155839232 19470
87348 0.0016946048417721521 0.0017635446280041028 -0.1364370143244472 0.18697022255804366 0.06413468651521083 0.001750081281837934 615.2763699945549 296.8325519277449 10097 647.576371302752 550.6291892490547 19108
86465 0.0016677376582278482 0.0017457169741765665 -0.15590287589755178 0.1867391430058405 0.06360427356485816 0.001721785042768429 621.9968241442306 353.8213099199086 10453 652.8774704490875 548.880433064918 19552
87045 0.0016880469936708861 0.001757427097868493 -0.13778638114002503 0.1879662818082601 0.06609926336384808 0.0017449236114434328 617.6306489516147 185.5857248720646 10101 650.4383552278467 548.2255739583176 19442
87702 0.0017027547151898736 0.0017706918414298646 -0.1339099936818003 0.18746237257987272 0.06384317775761912 0.001758238638512604 610.6425940949713 508.31185670222743 10235 641.6414711595759 553.1541241089246 18910
86873 0.0016785128797468356 0.0017539544404977837 -0.1501208394498908 0.1864828542815374 0.06594409674723599 0.0017350275462594375 618.584129684178 122.8808626775111 10614 651.6504567228932 548.9968412437738 19916
