segsites pi thetaW tajD het_o fst dxy ibs_bw_mean ibs_bw_skew ibs_bw_blocks_over_1e5 ibs_wi_mean ibs_wi_skew ibs_wi_blocks_over_1e5
399800 0.0018760942307692308 0.001888637290480738 0.006302927283703489 0.2275041270635318 0.06582698831292112 0.0019453282718508574 551.4292605372206 177.3782480202358 112 564.2285401544818 884.3074331272808 206
401046 0.0018898233333333337 0.0018895541731746004 0.009850831026712466 0.22704589997157432 0.0682567568561048 0.001955695929051124 552.9206326141566 665.7080746933253 101 564.8173297029216 883.5145266281692 202
400202 0.001883290512820513 0.0018747900108221482 0.003515830612834112 0.22749736383126515 0.06441974571255711 0.0019444798359133015 555.5098062349157 131.7954931260942 96 568.4682448396304 877.7271120646674 238
399456 0.001858759871794872 0.001864375163812377 0.0001413975298107518 0.2276246945846351 0.06341393622694107 0.001938097128629093 555.9214960940194 250.03914920730062 102 567.647315390152 882.3546113236622 194
399200 0.0018558271794871795 0.0018646337717516711 0.010758189276491418 0.2275581162324649 0.06548961989136436 0.0019444346856895669 553.4868587461735 119.84286593016354 96 566.9004257023216 879.1483810332974 222
401603 0.0019042630769230766 0.0018980647253586573 0.010220011386472667 0.22723273979527048 0.0666761889312679 0.0019570630103008333 550.8725700545123 540.2751630612889 93 564.4631670134861 881.4861001600351 224
399982 0.0018862358974358973 0.001883629700383489 0.016026077786767498 0.22820376916961252 0.06733831455778908 0.0019526459641160242 553.2803255480848 98.3103575360776 100 564.6163148375476 884.719382967952 206
402248 0.001893114871794872 0.001881302228929838 0.004936152054396772 0.22760908693144521 0.06502164700199935 0.0019557249549038693 551.0088105668567 51.69467409968807 90 563.7943015007385 885.4272296492906 210
401127 0.001870097435897436 0.0018747429911968219 0.01594210461010492 0.22812999374263013 0.06643090855027521 0.0019573641261346384 551.460250379974 228.99959868391787 107 562.8561711460461 886.7888262291984 206
399492 0.0018895341025641024 0.0018932217039500502 0.013670851618638494 0.22744898521121817 0.0670943570994481 0.0019489513626487706 554.5848544393305 294.15122198117143 103 567.3435085753487 880.8039772446494 194
399384 0.0018784691025641026 0.0018718277744265925 0.016483100007499037 0.22737315465817354 0.06705181091774355 0.0019498760784311172 553.2976055556252 74.46688576248398 108 565.4297612252341 882.7737607792884 220
399869 0.0018705816666666666 0.0018644456932503661 0.012090353168007996 0.2267218764145259 0.06509078797356638 0.001948207086199114 552.7256505461396 150.6768772731559 105 565.521588044376 883.5684705411038 224
401541 0.0018837541025641025 0.0018776582079670513 0.01708488169547076 0.2280971308035793 0.06508678576386755 0.0019587158447133316 549.6587773364596 1127.6227419763575 94 561.30058722511 888.2268625146147 196
400306 0.0018882884615384614 0.001882172091998374 0.005992493169311686 0.22804529534905804 0.0639168371303384 0.0019456902762272341 552.6477035572578 1422.6829489443007 120 563.3990524580702 887.435839196893 210
400576 0.0019004939743589744 0.0018892955652353059 0.008706133292609998 0.22728533411886875 0.06547375967158962 0.0019500972793703986 552.3785397922752 1172.6294285390572 111 563.9314848160644 886.3672269196412 168
399551 0.0018670939743589742 0.0018811611700538593 -0.007116907700742148 0.22723607249137162 0.0673385975800798 0.0019385341318544336 557.2902570769569 73.56639485613513 109 569.705430265025 877.8327373931356 208
400502 0.0019075351282051285 0.0018947733515858177 0.016509031853306842 0.22776527957413445 0.0656163182497995 0.001953890434865356 552.5035024024814 1815.5241953594004 107 564.7343051071646 881.0697304391477 204
400797 0.001918026923076923 0.0018994282944931194 0.011536292740199192 0.22705796201069364 0.06707538019306587 0.0019542432287027564 552.5124508556347 304.5368487193126 119 563.133502493649 887.0470902311397 186
401138 0.0018952571794871795 0.0018897657614885687 0.013031276424214566 0.22743494757415156 0.06593377216024869 0.001955531357019942 550.4544729773326 252.17489102666426 112 562.2822350675914 887.3047027770109 194
401600 0.0018923862820512819 0.0018908472128710732 0.006534396639395683 0.22767430278884462 0.06508520127721927 0.0019534736131300817 553.4903644608283 322.2153355767781 110 565.1157100600301 882.4588077007683 196
401704 0.0018899691025641026 0.0018783399925342823 0.009119328045577723 0.22623001015673233 0.06561029632209896 0.001956162386100721 551.2457819197431 61.6801105186255 72 565.1005428223821 879.107367822202 240
401691 0.0019065450000000002 0.0019023670210760119 0.004903639139634758 0.22867726685437312 0.066278939131052 0.001953971215519188 549.9647000361026 560.01987067675 90 562.4722494025234 870.6304764748287 188
400297 0.0018873071794871794 0.00187982111073206 0.012353937830103114 0.2282735069211111 0.06520519725134422 0.001950194572858099 553.6539471746153 65.51093346555353 97 568.0353115241412 804.4297019173068 182
399372 0.0018831664102564104 0.001887461799847581 0.0068310766066993515 0.22771751650090635 0.06685880934692094 0.0019444603159601572 554.9362883702432 272.18774173564987 95 567.0717008105503 882.7588483753091 202
400362 0.0018804676923076921 0.0018815608368691326 0.007003920318789539 0.22653261298524824 0.06602409358291537 0.0019488477573531037 554.792286527993 402.53723388499276 88 566.766964953195 884.1106670073716 224
401897 0.0018989285897435897 0.0018955961950290275 0.013626599783905098 0.2267799958695885 0.06780430260107548 0.001961482917459751 550.7153679165186 224.1734954104262 90 563.3049572024518 885.8853720914752 202
400567 0.0019107943589743586 0.0019067633560440195 0.010094788238279109 0.22754233374192084 0.06544404469475093 0.0019507006689095854 551.3260256241648 174.913181539352 103 564.2950833034807 864.4991200520456 204
400535 0.0018708510256410255 0.001876952913587157 0.009382234799584561 0.22750421311495872 0.06686429236277608 0.0019515275379306965 553.3359325289435 148.83087345767987 93 566.3128948768475 847.9858494037794 188
398895 0.00190365358974359 0.0018935743511399974 0.014519499866470408 0.22804121385326967 0.06549063269346408 0.001944826340112152 554.0157432824066 429.65958236157235 103 566.074435487949 881.0985464091956 218
401040 0.0018873528205128206 0.001879162835977492 0.01398997660992372 0.22739415020945555 0.06749699283426842 0.0019570649773546713 551.7232784478047 283.61607849310974 111 563.4158969977232 884.6454913723965 264
401829 0.0018910033333333332 0.0018850167793306144 0.006295088471797392 0.22756906544823793 0.06182672827460792 0.0019513978453315694 549.7177291425248 52.69027702893515 98 562.2397438581329 883.8560782492083 208
399796 0.001878770641025641 0.0018762005995819364 0.010664868645117164 0.22815798557264202 0.06647328938512301 0.0019481018028300275 554.5933082472903 565.1288735624399 119 564.8739904404355 884.2987988458084 176
402229 0.0018708735897435898 0.001876764835085852 -0.002162436544254855 0.22722590862419167 0.06320825022828887 0.0019502131080763273 551.0740399917983 154.90793132472191 100 561.9459289389612 888.4774132311783 170
399407 0.001887294358974359 0.0018704877151047934 0.01782416288035847 0.22800914856274426 0.0669560519685398 0.0019504745719894857 553.7877967250504 295.27729379474465 109 565.8944508923686 883.4649625014057 222
400658 0.00188216858974359 0.001881114150428533 0.016173154545931295 0.22796637032082223 0.0650259189725578 0.0019539040939800982 551.0729894045244 1364.8272549852227 112 563.5311069698535 885.0388011213104 200
400955 0.0018782517948717947 0.001858732808773223 0.01738190140883123 0.2283617862353631 0.06657022070599408 0.001957354746734908 550.4330017306083 311.2801109482078 110 563.2910032999117 882.1351961606526 226
399424 0.0018854684615384613 0.001881137660241196 0.016231386120021608 0.22817544764460834 0.06590306948736843 0.0019486720472415668 553.0332275312502 77.56335693669662 93 566.2749371733555 873.8707391376363 222
400811 0.0018882926923076925 0.00187982111073206 0.0007028274680619602 0.22686790033207677 0.0672664486487179 0.0019488020696094303 553.3688145161083 134.19338018709703 97 565.9454596826865 882.3809079711224 198
401045 0.0018832343589743593 0.001882947915816258 -0.0010658384638091351 0.22749828572853417 0.06455054564754908 0.0019462777716312675 553.4927599270948 386.7693721255611 105 565.4546952047032 883.8935023434187 200
401051 0.0019079096153846152 0.0019008153734402448 0.009939519992453148 0.22776143183784606 0.06442717578363706 0.0019519627035700451 551.4850344269066 149.7153405766636 99 563.513430675485 885.3190441449581 204
401387 0.0019028926923076925 0.0018895776829872632 0.011003118516891832 0.22855012743312564 0.06530943088331811 0.00195482483098193 552.6828242776523 2175.375574261005 107 563.2537426103102 887.593321905332 190
399852 0.0018948533333333333 0.0018899068203645474 0.002207487194343492 0.22721694526974984 0.06611979195516161 0.0019437656618741751 555.6841620128407 1643.5678148439172 107 567.1090910593646 881.3033425650711 218
401145 0.00189771141025641 0.0019003216673743187 0.009649861936732115 0.2278757057921699 0.06347065507536015 0.0019513322864877845 551.8151181507659 227.01036481414476 107 564.011738576648 884.6925138511635 198
400433 0.001888927564102564 0.0018820310331223954 0.008670742116545331 0.22756441152452467 0.06689271853758973 0.0019506716921541547 553.970379827175 126.90821738005924 113 565.369074740857 885.5114498817909 184
400651 0.0018744914102564105 0.001872603598244476 0.010021852262274072 0.2283927907330819 0.06390505174230536 0.0019494132600453393 552.1139642952655 54.53157156963438 91 564.894276278049 881.220853673524 252
400015 0.0018713989743589744 0.0018787396593495556 0.004779665959185276 0.2262655150431859 0.06558083803828785 0.0019456141156656774 553.0953632930027 112.70406268091274 108 565.8610024456126 879.1537896479134 218
400091 0.001876862051282051 0.0018685599104664157 0.014437913663972408 0.2276868262470288 0.06641598263084567 0.001951577854212318 553.3954601595143 96.36810980288121 107 566.603809241175 877.585362250001 248
400220 0.0018815019230769233 0.0018703936758541408 0.012140899583130277 0.22779208935085696 0.0661394241115099 0.0019506995360554437 553.3958606136422 73.63032754701838 102 565.5599792372351 880.3550390766387 178
400589 0.0018909941025641026 0.0018817489153704376 0.0077259678960202305 0.22709347985091963 0.06391136238099884 0.0019482041544123013 551.5632881497503 652.1101651931373 88 563.6860053848004 883.7775875480006 222
401256 0.0018926325641025644 0.0018957607637176694 0.011819297386244052 0.22516672647885638 0.06533057300591598 0.001955383692863848 550.470446382253 86.59352505567307 103 564.2922022346143 842.5459537235733 196
402196 0.0018937538461538462 0.0018903535068051471 0.013409339229325303 0.22772106137306197 0.0638687522547358 0.001958840734618805 548.0285215066132 427.08231388486263 97 559.4337898884145 889.7518947472516 206
401523 0.0018953107692307695 0.0019059405126008093 0.01050837560907032 0.22821245607350013 0.06459646086832435 0.001954618855406374 550.3165155792349 60.81007963650333 99 563.1514693499373 886.5119146362587 234
401813 0.001881420256410257 0.0018749075598854636 0.017801011346328784 0.22767717818985436 0.06599631521861209 0.0019613582880860965 550.1410552766637 119.83084466035513 100 563.3897101418594 879.4409626139555 236
401218 0.0019008676923076924 0.0018870621330323075 0.017746428884399496 0.22858782507265377 0.064775443910904 0.0019570679178103696 549.5338492326268 394.85290774993973 94 562.1690970631507 882.4401289045937 238
400777 0.0018999137179487177 0.0018929395861980928 0.015406459086901024 0.22729410619870902 0.06849587913218468 0.0019575154684013567 552.322139368218 80.20732784695845 105 565.2714952763728 875.6742180615677 214
399056 0.0018906374358974357 0.0018742022655055695 0.017154948707449703 0.22667457700172408 0.06715057064220667 0.0019488744101664264 555.4458988848362 368.6848876694044 101 566.9883302159692 880.8131219469592 212
401962 0.0018809910256410258 0.0018755658346400316 0.0014291615387815044 0.22705815475094657 0.06915150167685902 0.001956542593501485 552.7852434453393 1587.6114602830667 125 564.5565605886995 884.2239460750918 210
400520 0.0019016788461538462 0.0018835121513201731 0.009326278975177345 0.22657145710576254 0.06666207516291642 0.0019514326579380236 554.5104730051434 120.04271617860043 110 566.3628302505169 883.715134165483 186
400757 0.0018927641025641027 0.00189284554694744 0.002929635148395156 0.22745778613973053 0.06341031683731681 0.0019459254780800105 551.8244256239684 97.40399727980366 90 564.2371138857794 882.7361182552899 214
400748 0.001888341794871795 0.0018856045246471928 0.01365006059653767 0.22769496042400722 0.06645884770862066 0.0019543991051005076 551.6829194211977 100.3529240306145 122 563.9035575807873 883.2129989420193 224
400440 0.001890761282051282 0.001878128404220314 0.010045478023451005 0.22727087703526122 0.06447936747319845 0.0019491953550747508 551.5745213579974 201.11706254315072 86 565.7667095637801 871.660833937407 250
400343 0.0018915384615384614 0.0018850402891432772 -0.0028132712948054925 0.2264554394606625 0.06645677566915119 0.0019439799573069529 555.5548060998746 88.84565041793417 110 568.1323207584226 882.4496227793654 182
401481 0.0018944573076923076 0.0018920227035042303 0.0015113488608732096 0.2271197142579598 0.06307539672560121 0.0019484361199036042 551.1587138570917 71.53557934478512 93 562.7718579252851 887.7536659944248 160
401386 0.0019029374358974361 0.0018982998234852886 0.00796401663407114 0.2279166438291321 0.06374754099487977 0.0019518604184875234 551.4805026755569 364.47528887256055 87 563.9173961845013 884.8871877344864 184
399499 0.0018714787179487183 0.0018703936758541408 -0.0024382894516650675 0.22685138135514735 0.06671861457373698 0.001940250314824799 555.01043253014 346.0248555591647 100 567.5778521605981 873.339579619992 240
401412 0.0019167012820512817 0.001900721334189592 0.004808750249863756 0.22748024473608167 0.06591752759636361 0.0019524973688294976 552.9795668123479 262.21576880911726 91 564.8133177988074 885.2663135584306 184
402556 0.001893920769230769 0.0018959723520316377 0.0010448918291256842 0.2274318355707032 0.0633839565792407 0.001953628523670819 550.5312192667558 81.36671396023026 94 562.3887547804103 887.2276620992047 210
